time,value,date
01:17:42,72,2022-03-23
01:17:47,70,2022-03-23
01:17:57,72,2022-03-23
01:18:12,74,2022-03-23
01:18:17,74,2022-03-23
01:18:32,75,2022-03-23
01:18:37,74,2022-03-23
01:18:47,73,2022-03-23
01:18:52,73,2022-03-23
01:19:07,73,2022-03-23
01:19:17,72,2022-03-23
01:19:22,71,2022-03-23
01:19:27,69,2022-03-23
01:19:37,70,2022-03-23
01:19:42,72,2022-03-23
01:19:47,73,2022-03-23
01:19:57,74,2022-03-23
01:20:02,75,2022-03-23
01:20:07,74,2022-03-23
01:20:12,73,2022-03-23
01:20:17,72,2022-03-23
01:20:22,72,2022-03-23
01:20:27,71,2022-03-23
01:20:42,72,2022-03-23
01:20:57,72,2022-03-23
01:21:12,72,2022-03-23
01:21:17,73,2022-03-23
01:21:22,74,2022-03-23
01:21:27,73,2022-03-23
01:21:32,70,2022-03-23
01:21:42,75,2022-03-23
01:21:47,78,2022-03-23
01:21:52,77,2022-03-23
01:21:57,76,2022-03-23
01:22:07,75,2022-03-23
01:22:12,74,2022-03-23
01:22:17,73,2022-03-23
01:22:27,74,2022-03-23
01:22:42,74,2022-03-23
01:22:57,75,2022-03-23
01:23:07,74,2022-03-23
01:23:22,74,2022-03-23
01:23:37,74,2022-03-23
01:23:52,74,2022-03-23
01:24:07,74,2022-03-23
01:24:17,75,2022-03-23
01:24:27,74,2022-03-23
01:24:32,73,2022-03-23
01:24:37,74,2022-03-23
01:24:52,73,2022-03-23
01:25:07,73,2022-03-23
01:25:22,73,2022-03-23
01:25:37,76,2022-03-23
01:25:42,80,2022-03-23
01:25:47,81,2022-03-23
01:25:57,82,2022-03-23
01:26:02,83,2022-03-23
01:26:07,81,2022-03-23
01:26:12,78,2022-03-23
01:26:17,74,2022-03-23
01:26:22,73,2022-03-23
01:26:27,72,2022-03-23
01:26:32,72,2022-03-23
01:26:42,71,2022-03-23
01:26:57,70,2022-03-23
01:27:02,68,2022-03-23
01:27:07,69,2022-03-23
01:27:12,72,2022-03-23
01:27:22,71,2022-03-23
01:27:27,70,2022-03-23
01:27:32,69,2022-03-23
01:27:37,71,2022-03-23
01:27:42,72,2022-03-23
01:27:57,72,2022-03-23
01:28:02,71,2022-03-23
01:28:12,71,2022-03-23
01:28:17,71,2022-03-23
01:28:27,71,2022-03-23
01:28:42,71,2022-03-23
01:28:52,70,2022-03-23
01:28:57,71,2022-03-23
01:29:02,72,2022-03-23
01:29:07,72,2022-03-23
01:29:17,73,2022-03-23
01:29:32,72,2022-03-23
01:29:47,72,2022-03-23
01:29:52,72,2022-03-23
01:30:02,72,2022-03-23
01:30:07,73,2022-03-23
01:30:12,74,2022-03-23
01:30:17,76,2022-03-23
01:30:22,78,2022-03-23
01:30:32,75,2022-03-23
01:30:42,73,2022-03-23
01:30:47,73,2022-03-23
01:30:52,74,2022-03-23
01:30:57,76,2022-03-23
01:31:02,81,2022-03-23
01:31:07,83,2022-03-23
01:31:12,87,2022-03-23
01:31:17,89,2022-03-23
01:31:22,88,2022-03-23
01:31:37,83,2022-03-23
01:31:42,84,2022-03-23
01:31:47,82,2022-03-23
01:31:52,81,2022-03-23
01:31:57,79,2022-03-23
01:32:02,78,2022-03-23
01:32:12,79,2022-03-23
01:32:17,81,2022-03-23
01:32:22,83,2022-03-23
01:32:27,82,2022-03-23
01:32:32,78,2022-03-23
01:32:37,77,2022-03-23
01:32:42,79,2022-03-23
01:32:47,80,2022-03-23
01:32:52,80,2022-03-23
01:33:02,79,2022-03-23
01:33:07,80,2022-03-23
01:33:12,79,2022-03-23
01:33:17,78,2022-03-23
01:33:27,78,2022-03-23
01:33:32,77,2022-03-23
01:33:37,76,2022-03-23
01:33:47,76,2022-03-23
01:33:52,77,2022-03-23
01:33:57,78,2022-03-23
01:34:12,79,2022-03-23
01:34:17,77,2022-03-23
01:34:22,73,2022-03-23
01:34:32,73,2022-03-23
01:34:37,74,2022-03-23
01:34:42,73,2022-03-23
01:34:47,73,2022-03-23
01:35:02,74,2022-03-23
01:35:12,75,2022-03-23
01:35:27,77,2022-03-23
01:35:32,79,2022-03-23
01:35:37,78,2022-03-23
01:35:52,74,2022-03-23
01:35:57,73,2022-03-23
01:36:02,73,2022-03-23
01:36:07,73,2022-03-23
01:36:12,73,2022-03-23
01:36:27,74,2022-03-23
01:36:42,75,2022-03-23
01:36:52,74,2022-03-23
01:37:07,74,2022-03-23
01:37:12,78,2022-03-23
01:37:17,79,2022-03-23
01:37:22,77,2022-03-23
01:37:27,75,2022-03-23
01:37:32,74,2022-03-23
01:37:37,75,2022-03-23
01:37:42,74,2022-03-23
01:37:47,73,2022-03-23
01:37:52,73,2022-03-23
01:38:02,75,2022-03-23
01:38:07,75,2022-03-23
01:38:12,77,2022-03-23
01:38:22,76,2022-03-23
01:38:27,75,2022-03-23
01:38:32,76,2022-03-23
01:38:37,77,2022-03-23
01:38:47,75,2022-03-23
01:38:52,74,2022-03-23
01:39:02,74,2022-03-23
01:39:07,74,2022-03-23
01:39:12,71,2022-03-23
01:39:17,68,2022-03-23
01:39:22,68,2022-03-23
01:39:27,70,2022-03-23
01:39:32,73,2022-03-23
01:39:37,72,2022-03-23
01:39:47,71,2022-03-23
01:39:52,72,2022-03-23
01:39:57,74,2022-03-23
01:40:02,75,2022-03-23
01:40:07,76,2022-03-23
01:40:17,75,2022-03-23
01:40:22,73,2022-03-23
01:40:27,71,2022-03-23
01:40:32,70,2022-03-23
01:40:42,69,2022-03-23
01:40:47,70,2022-03-23
01:40:57,71,2022-03-23
01:41:02,71,2022-03-23
01:41:07,70,2022-03-23
01:41:12,70,2022-03-23
01:41:17,71,2022-03-23
01:41:22,72,2022-03-23
01:41:27,71,2022-03-23
01:41:42,71,2022-03-23
01:41:57,71,2022-03-23
01:42:02,72,2022-03-23
01:42:07,75,2022-03-23
01:42:12,79,2022-03-23
01:42:17,83,2022-03-23
01:42:27,84,2022-03-23
01:42:37,83,2022-03-23
01:42:42,83,2022-03-23
01:42:47,81,2022-03-23
01:42:52,78,2022-03-23
01:42:57,76,2022-03-23
01:43:02,75,2022-03-23
01:43:17,76,2022-03-23
01:43:22,75,2022-03-23
01:43:32,74,2022-03-23
01:43:37,74,2022-03-23
01:43:47,73,2022-03-23
01:43:52,73,2022-03-23
01:43:57,73,2022-03-23
01:44:07,73,2022-03-23
01:44:12,72,2022-03-23
01:44:17,69,2022-03-23
01:44:22,69,2022-03-23
01:44:27,72,2022-03-23
01:44:32,74,2022-03-23
01:44:37,74,2022-03-23
01:44:52,74,2022-03-23
01:45:02,76,2022-03-23
01:45:07,77,2022-03-23
01:45:12,77,2022-03-23
01:45:17,75,2022-03-23
01:45:22,73,2022-03-23
01:45:27,72,2022-03-23
01:45:32,73,2022-03-23
01:45:37,74,2022-03-23
01:45:52,74,2022-03-23
01:45:57,72,2022-03-23
01:46:02,70,2022-03-23
01:46:07,72,2022-03-23
01:46:12,73,2022-03-23
01:46:17,74,2022-03-23
01:46:22,75,2022-03-23
01:46:32,73,2022-03-23
01:46:47,73,2022-03-23
01:46:57,74,2022-03-23
01:47:02,73,2022-03-23
01:47:12,74,2022-03-23
01:47:17,73,2022-03-23
01:47:22,73,2022-03-23
01:47:27,72,2022-03-23
01:47:37,71,2022-03-23
01:47:52,71,2022-03-23
01:47:57,72,2022-03-23
01:48:02,71,2022-03-23
01:48:12,73,2022-03-23
01:48:17,75,2022-03-23
01:48:22,75,2022-03-23
01:48:27,76,2022-03-23
01:48:32,75,2022-03-23
01:48:37,74,2022-03-23
01:48:42,75,2022-03-23
01:48:47,77,2022-03-23
01:48:52,78,2022-03-23
01:48:57,75,2022-03-23
01:49:12,76,2022-03-23
01:49:17,74,2022-03-23
01:49:22,72,2022-03-23
01:49:27,68,2022-03-23
01:49:32,70,2022-03-23
01:49:37,75,2022-03-23
01:49:42,77,2022-03-23
01:49:47,79,2022-03-23
01:49:52,82,2022-03-23
01:49:57,81,2022-03-23
01:50:12,79,2022-03-23
01:50:27,79,2022-03-23
01:50:42,79,2022-03-23
01:50:52,76,2022-03-23
